2022-05-07T19:08:57.110Z [warn] => 	[GET] => /api/productos-test2
2022-05-07T19:09:04.744Z [warn] => 	[GET] => /api/productos-testNOEXISTE
2022-05-07T19:23:37.697Z [warn] => 	[GET] => /favicon.ico
2022-05-07T21:53:37.236Z [warn] => 	[GET] => /favicon.ico
2022-05-07T21:57:48.401Z [warn] => 	[GET] => /favicon.ico
2022-05-07T22:00:14.661Z [warn] => 	[GET] => /favicon.ico
2022-05-18T18:44:34.553Z [warn] => 	[GET] => /favicon.ico
2022-05-18T18:48:49.347Z [warn] => 	[GET] => /api/asd
2022-05-18T18:48:49.352Z [warn] => 	[GET] => /api/asda
2022-05-18T19:08:01.381Z [warn] => 	[GET] => /favicon.ico
2022-05-18T19:09:06.225Z [warn] => 	[GET] => /api/asda
2022-05-18T19:09:06.234Z [warn] => 	[GET] => /api/asd
2022-05-18T19:09:16.581Z [warn] => 	[GET] => /favicon.ico
2022-05-18T19:09:36.898Z [warn] => 	[GET] => /api/asda
2022-05-18T19:09:36.903Z [warn] => 	[GET] => /api/asd
2022-05-18T19:09:59.952Z [warn] => 	[GET] => /api/asd
2022-05-18T19:09:59.957Z [warn] => 	[GET] => /api/asda
2022-05-18T19:17:54.258Z [warn] => 	[GET] => /api/asda
2022-05-18T19:17:54.263Z [warn] => 	[GET] => /api/asd
2022-05-18T20:32:21.213Z [warn] => 	[GET] => /api/asd
2022-05-18T20:32:21.219Z [warn] => 	[GET] => /api/asda
